Assessments,Year,Migratory Birds Program (Hunting) (A),Enforcement Branch (A),Compliance Promotion,Hunting Summaries Distribution,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,NWT,Newfoundland and Labrador,Nunavut,Ontario,PEI,Quebec,Saskatchewan,Yukon,MBP's Contribution to the Conservation of Migratory Birds,MBP's Contribution to Sustainable Hunting,Scientific Sound Regulations,Enforcement Activities,Population Surveys,Waterfowl Banding,Status Analysis,Harvest Survey,Duck Banding,Goose Banding,Scientific Data on Migratory Game Bird Population,Enforcement Measures,Core information to ensure sound decision-making for setting conservation and protection goalsÕ,Enforcement of regulations and adoption of Compliance and Enforcement Policy and Operational Directive,Championing actions to sustain healthy populations of migratory birds,Prosecution,Arrest,Ministerial Order,EPCO,Ticket,Direction,Warning,MBP's Contribution to Changing Hunting Behaviour,No Action,Dabbling and Diving Ducks Survey_PS,Sea Ducks_PS,Other Hunted Species_PS,Harvest Estimate for Dabbling and Diving Ducks,Harvest Estimate for Geese,Harvest Estimate for Other Hunted Species,American Woodcock_HE,Murres_HE,Band-Tailed Pigeon_HE,Rails_HE,Mourning Dove_HE,American Coot_HE,Sandhill Crane_HE,WilsonÕs Snipe_HE,American Black Duck_PS,Mallard_PS,Northern Pintail_PS,Green-Winged Teal_PS,wbf_NOPI,Blue-Winged Teal_PS,Inland Dabbling Ducks_PS,American Wigeon_PS,Gadwall_PS,Wood Duck_PS,Northern Shoveler_PS,ebs_ABDU,wbs_ABDU,so_ABDU,slls_ABDU,cbs_ABDU,esa_ABDU,ah_ABDU,cbs_MALL,wbs_MALL,esa_MALL,slls_MALL,bccp_MALL,ah_MALL,ebs_MALL,so_MALL,wbf_MALL,total_MALL,cp_MALL,total_NOPI,cp_NOPI,bccp_NOPI,cp_GWTE,total_GWTE,wbf_GWTE,bccp_AGWT,ah_AGWT,ebs_AGWT,cbs_AGWT,wbs_AGWT,esa_AGWT,slls_AGWT,so_AGWT,cp_BWTE,total_BWTE,wbf_BWTE,bccp_AMWI,cp_AMWI,total_AMWI,wbf_AMWI,bccp_GADW,cp_GADW,wbf_GADW,total_GADW,cp_NSHO,bccp_NSHO,wbf_NSHO,total_NSHO,slls_WODU,so_WODU,Inland Diving Ducks_PS,Redhead_PS,Ring-Necked Duck_PS,Ruddy Duck_PS,Canvasback_PS,Greater Scaup & Lesser Scaup_PS,bccp_SCAU,wbf_REDH,total_REDH,bccp_REDH,ah_RNDU,cbs_RNDU,wbs_RNDU,so_RNDU,esa_RNDU,ebs_RNDU,cp_REDH,cp_RNDU,total_RNDU,bccp_RNDU,wbf_RNDU,cp_RUDU,total_RUDU,wbf_RUDU,bccp_RUDU,cp_USCA,total_USCA,wbf_USCA,cp_CANV,total_CANV,wbf_CANV,bccp_CANV,Common Eider_PS,Scooter_PS,Surf Scoter_PS,BarrowÕs Goldeneye_PS,Common Goldeneye_PS,Bufflehead_PS,Red-Breasted Merganser_PS,Common Merganser_PS,north_COEI,bccp_SCOT,cp_USCO,total_USCO,wbf_USCO,tsa_SUSC,bccp_BUFF,tsa_BUFF,cp_BUFF,total_BUFF,wbf_BUFF,bccp_GOLD,ah_GOLD,ebs_GOLD,cbs_GOLD,esa_GOLD,ebs_COGO,cbs_COGO,tsa_COGO,wbs_COGO,ah_COGO,wbs_GOLD,cp_UNGO,total_UNGO,wbf_UNGO,bccp_MERG,esa_MERG,Hooded Merganser_PS,cp_COME,total_COME,wbf_COME,tsa_HOME,Geese_PS,Greater Snow Goose_PS,Lesser Snow Goose_PS,RossÕs Goose_PS,cont_GSNO,karraklake_SNGO_LES,sprsngo_SNGO_GRE,mid_LSNO,pac_LSNO,karraklake_ROGO,cont_ROGO,Greater White-Fronted Goose_PS,mid_GWFG,Cackling Goose_PS,mid_CACG,Canada Goose_PS,qc_CANG_ATL,sqc_CANG_QTB,bccp_CANG_BCB,so_CANG_OTB,cp_CANG,nwont_CANG,wbf_CANG,ungava_CANG_ATL,Trumpeter Swan_PS,pacific_TRUS,rocky_TRUS,American Coot_PS,Sandhill Crane_PS,cp_AMCO,sacr_east_SACR,Greater Snow Goose_HE,Lesser Snow Goose,Lesser Snow Goose: blue phase_HE,Lesser Snow Goose: white phase_HE,Great White-fronted Goose_HE,Ross' Goose_HE,Canada Goose_HE,Brant_HE,Hearvest Estimate for Sea Ducks,Hooded Merganser_HE,Red-breasted Merganser_HE,Common Merganser_HE,Common Goldeneye_HE,Bufflehead_HE,White-winged Scoter_HE,Barrow's Goldeneye_HE,Common Eider_HE,Surf Scoter_HE,Scoter_HE,Black Scoter_HE,Inland Dabbling Ducks_HE,Inland Diving Ducks_HE,American Black Duck_HE,American Green-winged Teal_HE,American Wigeon_HE,Mallard_HE,Wood Duck_HE,Northern Shoveler_HE,Northern Pintail_HE,Blue-winged Teal_HE,Gadwall_HE,Canvasback_HE,Greater Scaup_HE,Lesser Scaup_HE,Ring-necked Duck_HE
2006Assessment,2006,45,77,,,,,,,,,,,,,,,,68,68,60,77,45,71,60,67,79,65,60,77,60,77,0,53,100,100,100,56,84,53,68,98,51,44,30,70,55,84,100,,100,100,1,100,100,100,70,56,80,50,22,58,49,67,86,59,56,100,100,0,44,49,100,100,100,45,46,46,100,43,100,48,25,39,45,100,100,100,41,41,33,100,48,48,49,49,49,29,0,100,40,38,100,100,42,30,100,100,100,44,100,36,29,42,9,100,55,60,44,44,74,67,100,100,42,0,100,100,46,39,49,48,100,38,39,100,39,38,40,100,0,100,39,32,100,49,49,100,37,50,14,81,79,49,74,41,37,28,100,41,32,14,100,17,42,45,46,100,49,49,49,49,41,100,49,100,100,49,46,100,100,100,49,47,34,40,40,47,61,100,73,37,100,100,100,47,100,41,34,100,100,47,47,32,100,16,48,100,36,25,31,49,,,,47,16,47,16,100,100,100,100,39,46,43,18,65,43,45,31,100,40,100,100,100,47,100,100,71,70,100,48,100,100,41,100,47,43,39,44,100,35,100
2007Assessment,2007,49,66,,,,,,,,,,,,,,,,66,66,66,66,51,82,66,67,77,89,66,66,66,66,0,0,100,100,100,0,84,62,66,99,57,56,22,81,48,71,100,,100,10,0,100,100,100,75,68,84,53,38,65,54,61,100,68,77,100,100,0,22,100,100,100,100,100,100,43,100,46,47,100,37,45,45,100,100,100,100,45,35,48,49,49,49,49,49,40,0,49,47,100,0,100,100,46,100,100,100,100,100,44,46,100,27,100,60,48,59,70,82,52,100,100,47,0,48,100,100,41,100,100,49,33,42,100,44,100,47,38,100,37,41,32,100,100,100,30,,27,27,100,82,44,100,40,,31,0,44,36,27,45,48,43,46,46,100,49,49,49,49,100,100,100,100,16,49,100,100,100,100,100,100,38,36,34,100,74,81,100,100,100,100,45,100,100,100,100,100,100,47,47,36,48,21,100,100,43,3,37,100,,,,47,0,47,0,44,42,43,42,49,31,48,100,75,100,100,100,100,100,25,19,100,43,21,19,80,82,100,100,44,100,43,100,100,42,45,100,100,45,100
2008Assessment,2008,66,81,87,87,48,100,100,100,100,48,100,48,100,100,100,100,100,72,72,59,81,55,55,59,71,51,61,59,81,59,81,87,59,100,100,100,77,76,58,72,99,50,36,68,71,98,63,100,,100,10,0,100,49,100,70,66,68,55,100,82,48,59,50,39,59,100,49,0,100,100,100,49,100,100,100,100,49,43,100,45,46,42,42,41,32,100,100,46,43,46,49,49,49,49,49,44,0,100,47,100,48,100,48,42,16,45,100,42,42,39,100,42,42,26,52,86,53,35,35,55,100,100,46,100,44,100,100,100,49,46,100,31,41,100,45,31,44,42,31,36,45,42,34,35,44,35,,22,21,62,81,51,45,100,,14,0,43,39,21,48,100,34,42,43,100,49,49,49,49,100,100,100,100,6,49,100,46,42,42,49,47,100,100,100,47,71,55,100,100,100,24,43,100,100,100,100,100,100,39,39,52,100,100,100,43,100,39,100,46,,,,100,41,100,41,100,100,100,100,100,100,100,100,61,46,36,34,100,49,47,33,100,100,73,100,78,64,100,100,40,100,45,38,100,100,49,40,100,100,47
2009Assessment,2009,47,53,36,36,41,42,44,38,42,32,37,31,42,46,43,38,45,48,48,51,53,50,58,51,48,65,53,51,53,51,53,36,0,100,100,100,0,64,0,48,83,48,56,30,41,48,41,33,,100,,,33,21,26,42,56,65,71,100,58,41,58,43,33,73,48,100,0,24,46,48,46,100,100,100,37,44,46,45,45,44,46,41,100,31,32,100,100,100,100,49,49,49,49,49,11,0,36,100,42,100,41,49,46,48,44,34,48,34,100,44,100,17,43,57,25,56,67,73,71,43,27,47,0,100,36,49,26,48,100,35,28,100,49,100,25,44,100,100,46,100,100,46,48,100,100,43,85,100,63,85,52,71,100,43,42,100,100,100,100,48,100,32,44,48,100,49,49,49,49,100,45,100,100,100,49,47,48,100,43,100,42,100,100,100,42,68,62,57,70,47,43,100,100,15,100,40,100,100,100,100,36,46,100,46,35,47,27,39,100,,,,30,32,30,32,36,41,43,41,38,41,100,,65,47,100,100,100,43,100,42,100,12,60,21,45,38,100,47,38,45,42,31,41,25,40,44,32,100,46
2010Assessment,2010,48,53,45,45,41,47,44,38,42,31,37,100,42,100,43,42,45,50,50,50,53,45,59,50,51,48,70,50,53,50,53,45,0,100,100,100,54,0,0,50,83,39,59,22,53,65,27,29,30,40,,,29,34,24,53,53,59,89,100,34,37,54,29,100,41,47,40,0,100,100,46,47,100,43,43,100,47,37,31,100,47,45,36,100,27,15,37,100,100,100,49,49,100,49,100,45,100,27,44,37,100,36,48,34,20,39,19,47,31,28,44,48,100,100,43,29,59,48,28,67,43,34,49,0,100,42,42,100,49,100,36,31,48,40,100,20,39,39,100,30,100,100,32,43,41,0,,75,32,60,84,88,71,100,,3,100,100,100,32,100,100,43,100,100,100,100,49,100,100,100,40,42,38,0,100,100,43,38,100,43,100,100,100,100,100,69,81,67,100,100,100,43,34,100,100,100,49,49,100,100,42,100,100,40,100,45,41,48,44,32,31,35,27,20,27,20,38,65,30,100,40,100,100,,67,43,100,100,42,100,100,9,34,100,100,100,59,49,48,100,44,42,42,100,44,44,44,25,43,49,47
2011Assessment,2011,62,55,75,75,44,100,100,46,100,39,100,100,45,100,100,48,100,60,60,58,55,58,46,58,73,35,58,58,55,58,55,75,0,100,100,100,0,68,0,60,84,47,66,67,76,80,47,39,39,100,11,,39,100,24,45,66,59,94,19,71,46,55,50,75,62,100,43,0,47,36,44,47,31,100,49,46,40,100,100,100,39,100,48,100,100,21,49,46,45,31,100,100,100,100,100,100,100,100,100,15,46,100,41,39,20,43,42,100,100,14,17,100,41,100,48,56,39,26,59,72,42,24,100,0,47,41,45,30,46,100,100,30,40,43,37,35,34,22,21,48,100,100,100,100,36,0,,75,100,100,99,46,45,52,,100,0,100,100,100,47,0,42,100,49,100,100,100,100,100,100,100,49,41,18,100,100,100,100,47,45,100,44,48,49,100,63,81,100,72,100,45,100,100,100,100,45,45,45,49,49,57,37,100,45,100,100,100,100,100,,,,100,39,100,39,100,70,100,41,100,100,100,28,93,100,100,100,100,100,100,100,49,100,100,100,93,61,100,37,100,48,100,100,100,100,100,100,35,33,100
2012Assessment,2012,59,52,71,71,100,46,47,100,49,100,100,100,100,48,49,43,100,56,56,55,52,72,49,55,47,34,65,55,52,55,52,71,0,100,100,100,0,80,0,56,56,53,65,99,59,52,17,39,31,5,16,0,39,26,11,44,79,65,100,18,74,52,68,59,78,87,100,48,0,32,46,49,49,100,47,47,46,47,100,100,100,100,100,100,100,47,100,100,100,100,48,100,100,100,100,100,100,100,100,100,26,100,100,41,34,40,48,49,100,100,100,31,100,100,47,54,58,47,27,60,86,47,32,100,0,100,43,47,100,46,43,100,46,41,40,39,44,40,20,6,100,100,100,100,100,43,0,100,69,100,80,97,77,41,44,100,100,35,46,100,100,43,48,100,100,100,48,100,100,100,100,47,48,48,100,100,100,42,100,100,36,47,47,30,44,42,47,77,81,100,100,47,100,100,100,100,100,100,42,42,100,100,63,100,100,100,47,100,100,100,100,,,,100,100,100,100,47,72,44,100,42,42,100,35,66,100,14,48,45,100,42,100,48,100,71,100,71,48,100,44,43,100,100,41,43,100,41,24,40,48,100
2013Assessment,2013,69,58,80,80,100,47,100,100,48,100,100,100,100,100,48,46,100,65,65,66,58,76,53,66,73,41,67,66,58,66,58,80,74,100,100,69,74,0,56,65,0,64,60,99,78,85,76,100,100,6,,100,100,100,36,77,72,72,98,43,100,63,100,80,48,100,45,100,0,100,100,100,100,100,100,100,100,49,48,23,49,48,100,100,100,100,48,100,48,100,39,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,23,100,100,100,100,100,46,39,66,55,78,55,60,86,46,20,100,0,100,100,100,100,100,47,100,100,100,41,100,100,100,22,0,100,100,100,100,100,43,0,,100,46,100,100,65,72,60,,100,,,,46,40,100,100,48,44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,45,100,40,,,,40,86,100,100,72,100,100,100,100,100,44,100,100,100,100,100,61,100,100,41,100,100,100,100,,,,,100,100,100,100,40,100,100,100,100,100,100,,56,49,100,31,100,44,49,100,44,26,39,31,86,71,100,100,37,100,49,100,100,100,44,100,100,100,39
2014Assessment,2014,67,41,90,90,100,100,100,100,100,100,100,42,100,100,100,100,42,58,58,60,41,62,44,60,77,35,55,60,41,60,41,90,72,100,100,0,0,0,60,58,0,67,58,63,82,97,74,100,100,3,,100,100,100,26,70,76,87,100,49,100,65,100,71,73,91,100,48,0,100,100,100,47,34,100,100,100,100,42,42,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,100,100,100,100,100,100,100,47,100,43,100,100,39,100,100,100,33,70,100,59,57,57,86,47,100,100,100,36,49,46,100,44,42,100,100,100,48,100,100,100,28,0,100,100,100,100,100,29,0,,100,45,41,87,89,44,58,,100,,,,45,100,100,100,100,47,100,100,100,100,100,49,46,45,47,16,100,44,41,43,42,47,100,,,,100,69,40,69,74,35,48,43,100,39,48,100,100,100,100,100,56,24,100,100,100,47,100,100,100,,,,100,32,100,32,100,100,100,100,100,100,100,,61,100,100,100,32,47,14,100,25,42,20,27,78,87,40,39,100,47,100,44,100,100,100,100,100,100,36
2015Assessment,2015,54,56,71,71,100,100,100,48,46,100,48,40,100,45,100,100,42,55,55,49,56,64,31,49,57,30,32,49,56,49,56,71,53,100,100,0,60,80,73,55,0,67,66,99,69,58,56,49,42,46,,100,49,100,32,33,73,74,100,100,100,56,75,65,80,100,43,42,0,40,40,43,46,34,46,48,100,100,100,44,48,100,100,100,48,48,100,100,100,100,100,100,100,100,100,100,42,0,100,100,100,0,100,100,100,42,100,23,100,100,100,100,100,100,49,79,75,60,100,75,86,47,100,100,0,45,41,46,100,45,46,100,100,100,49,100,100,100,100,100,100,100,100,100,100,100,0,100,14,100,64,67,85,73,66,100,14,,,,100,100,25,100,100,100,44,100,100,100,100,12,35,29,5,0,100,100,46,46,100,46,100,,,,100,34,38,35,39,33,40,45,36,35,48,31,31,31,30,30,56,29,100,100,100,100,100,100,43,100,100,100,100,100,100,100,36,34,25,45,100,37,100,,51,100,36,100,41,100,22,27,28,32,35,48,70,69,35,45,100,100,100,38,40,100,48,100,100,46,40
2016Assessment,2016,57,86,60,60,100,100,36,49,45,44,49,32,100,34,100,100,34,68,68,57,86,74,51,57,49,36,67,57,86,57,86,60,88,100,100,100,55,96,70,68,96,71,72,99,63,55,64,49,100,31,,100,49,100,39,53,73,47,100,100,82,57,87,84,100,76,49,100,0,100,47,49,44,35,48,49,100,47,100,48,100,100,100,100,39,22,33,100,100,100,48,100,100,100,100,100,100,0,100,47,100,100,48,100,100,39,100,100,100,39,100,100,47,100,100,86,100,71,100,75,86,45,100,100,100,100,100,100,30,100,43,100,100,100,47,100,100,100,100,100,100,100,100,100,100,100,0,,100,100,41,84,89,100,100,,100,100,100,100,100,100,100,100,100,49,32,100,100,100,100,32,39,41,41,100,100,46,42,40,100,100,100,100,100,100,100,61,35,73,100,25,39,46,47,100,100,100,100,100,37,37,51,41,100,100,37,100,100,100,49,,,,100,100,100,100,36,29,28,30,47,41,100,100,22,36,12,15,26,44,27,3,36,16,63,100,70,57,36,48,100,45,100,100,37,40,100,46,48,100,34